depth,qc,fs,u2,qt,Bq,Ic,t,u2,t,u2,t,u2,t,u2,t,u2,t,u2
2.57,1.57,0.03091,0.00296,1.57,-0.014692217,2.497954022,,,,,,,,,,,,
2.58,1.58,0.03071,0.0061,1.57,-0.012685606,2.497210745,,,,,,,,,,,,
2.59,1.68,0.03023,0.01011,1.58,-0.010037497,2.490004278,,,,,,,,,,,,
2.6,1.73,0.03023,0.00944,1.68,-0.009893764,2.452282898,,,,,,,,,,,,
2.61,1.78,0.03023,-0.02699,1.73,-0.031425223,2.434793583,,,,,,,,,,,,
2.62,1.76,0.04011,-0.0352,1.78,-0.035338413,2.494151172,,,,,,,,,,,,
2.63,1.74,0.04008,-0.029,1.76,-0.032175436,2.502045164,,,,,,,,,,,,
2.64,1.71,0.03814,-0.0228,1.74,-0.028936417,2.496573813,,,,,,,,,,,,
2.65,1.64,0.03633,-0.00887,1.7,-0.021224874,2.49895375,,,,,,,,,,,,
2.66,1.63,0.03252,-0.00372,1.64,-0.01884026,2.492754263,,,,,,,,,,,,
2.67,1.68,0.03003,0.00286,1.63,-0.014840134,2.476452557,,,,,,,,,,,,
2.68,1.75,0.02693,0.00553,1.68,-0.012799132,2.430009262,,,,,,,,,,,,
2.69,1.83,0.02587,0.00887,1.75,-0.010355031,2.395043206,,,,,,,,,,,,
2.7,1.83,0.02567,0.00715,1.83,-0.010914976,2.366011484,,,,,,,,,,,,
2.71,1.75,0.02542,0.00267,1.83,-0.013500829,2.364484572,,,,,,,,,,,,
2.72,1.71,0.02432,0.00267,1.76,-0.014115793,2.378708059,,,,,,,,,,,,
2.73,1.7,0.02425,0.00267,1.71,-0.014604617,2.396996475,,,,,,,,,,,,
2.74,1.7,0.02432,-0.07793,1.7,-0.063880311,2.402347951,,,,,,,,,,,,
2.75,1.7,0.0248,-0.07726,1.7,-0.063540334,2.408218164,,,,,,,,,,,,
2.76,3.31,0.02674,-0.07783,1.7,-0.063956271,2.428316041,,,,,,,,,,,,
2.77,3.33,0.02861,-0.08003,3.29,-0.03318954,2.035694866,,,,,,,,,,,,
2.78,3.33,0.03265,-0.07993,3.31,-0.032987025,2.066307029,,,,,,,,,,,,
2.79,3.33,0.03498,-0.07898,3.32,-0.032626784,2.083210572,,,,,,,,,,,,
2.8,3.26,0.03795,-0.07392,3.32,-0.031106725,2.105571337,,,,,,,,,,,,
2.81,3.21,0.03779,-0.06915,3.24,-0.030422187,2.120508969,,,,,,,,,,,,
2.82,3.07,0.03753,-0.05456,3.2,-0.026195216,2.127309796,,,,,,,,,,,,
2.83,2.97,0.03659,-0.04521,3.05,-0.024416289,2.151336469,,,,,,,,,,,,
2.84,2.75,0.03514,-0.02833,2.95,-0.019453513,2.162326312,,,,,,,,,,,,
2.85,2.64,0.03504,-0.02213,2.74,-0.018702179,2.208422928,,,,,,,,,,,,
2.86,2.37,0.03614,-0.01316,2.63,-0.016050144,2.243027982,,,,,,,,,,,,
2.87,2.27,0.03672,-0.01126,2.37,-0.017079189,2.313213996,,,,,,,,,,,,
2.88,2.14,0.03633,-0.0103,2.27,-0.017464189,2.338273834,,,,,,,,,,,,
2.89,2.1,0.03682,-0.01421,2.14,-0.020488495,2.379765969,,,,,,,,,,,,
2.9,2.02,0.03501,-0.0351,2.09,-0.03135001,2.382070011,,,,,,,,,,,,
2.91,1.98,0.03026,-0.04473,2.02,-0.037446344,2.366122379,,,,,,,,,,,,
2.92,1.87,0.029,-0.03844,1.98,-0.035001612,2.368610934,,,,,,,,,,,,
2.93,1.82,0.02878,-0.02718,1.86,-0.031130626,2.406812156,,,,,,,,,,,,
2.94,1.66,0.03049,-0.00763,1.81,-0.020886351,2.43980029,,,,,,,,,,,,
2.95,1.57,0.03104,0.0021,1.66,-0.01681716,2.500002448,,,,,,,,,,,,
2.96,1.36,0.03042,0.01049,1.56,-0.012400323,2.534989925,,,,,,,,,,,,
2.97,1.27,0.02987,0.01288,1.36,-0.012547702,2.618451476,,,,,,,,,,,,
2.98,1.3,0.02832,0.01736,1.27,-0.009851406,2.649220882,,,,,,,,,,,,
2.99,1.36,0.02781,0.01564,1.31,-0.010996911,2.625557447,,,,,,,,,,,,
3,1.47,0.02671,0.00954,1.36,-0.015360901,2.592122609,,,,,,,,,,,,
3.01,1.47,0.02655,0.02213,1.47,-0.005266961,2.541997484,,,,,,,,,,,,
3.02,1.42,0.02839,0.03233,1.47,0.001925233,2.56013856,,,,,,,,,,,,
3.03,1.41,0.02894,0.02614,1.42,-0.002646845,2.588050006,,,,,,,,,,,,
3.04,1.45,0.02981,0.02041,1.41,-0.007003509,2.601181695,,,,,,,,,,,,
3.05,1.65,0.03197,-0.00525,1.46,-0.025234787,2.598236168,,,,,,,,,,,,
3.06,1.74,0.03336,-0.01641,1.65,-0.029320135,2.532556721,,,,,,,,,,,,
3.07,1.85,0.0353,-0.01726,1.75,-0.028145471,2.51115134,,,,,,,,,,,,
3.08,1.81,0.03572,-0.02203,1.85,-0.02930075,2.48001361,,,,,,,,,,,,
3.09,1.76,0.03385,-0.01669,1.8,-0.02712497,2.483949915,,,,,,,,,,,,
3.1,1.64,0.03359,-0.00591,1.76,-0.021458674,2.49701163,,,,,,,,,,,,
3.11,1.57,0.03272,-0.00095,1.63,-0.020135404,2.539620915,,,,,,,,,,,,
3.12,1.53,0.03162,0.00878,1.57,-0.014530609,2.555341879,,,,,,,,,,,,
3.13,1.54,0.02826,0.01021,1.53,-0.014019342,2.543441571,,,,,,,,,,,,
3.14,1.57,0.02674,0.00095,1.54,-0.020284868,2.5260407,,,,,,,,,,,,
3.15,1.58,0.02367,-0.01126,1.57,-0.028079832,2.484069089,,,,,,,,,,,,
3.16,1.59,0.02312,-0.01793,1.58,-0.03237656,2.475119913,,,,,,,,,,,,
3.17,1.59,0.02487,-0.01765,1.59,-0.032048831,2.490120394,,,,,,,,,,,,
3.18,1.61,0.02629,-0.01641,1.59,-0.03130267,2.50495108,,,,,,,,,,,,
3.19,1.68,0.02929,-0.01488,1.61,-0.029971398,2.525481321,,,,,,,,,,,,
3.2,1.72,0.03045,-0.01574,1.68,-0.029267723,2.509390993,,,,,,,,,,,,
3.21,1.75,0.03191,-0.02633,1.72,-0.035039301,2.50751544,,,,,,,,,,,,
3.22,1.73,0.03233,-0.03739,1.75,-0.041060287,2.500832408,,,,,,,,,,,,
3.23,1.71,0.02878,-0.02709,1.73,-0.035413782,2.47890126,,,,,,,,,,,,
3.24,1.68,0.02664,-0.02041,1.7,-0.032031349,2.471205756,,,,,,,,,,,,
3.25,1.62,0.02574,-0.00925,1.68,-0.025559941,2.470908848,,,,,,,,,,,,
3.26,1.56,0.0258,-0.00362,1.61,-0.023131777,2.499269931,,,,,,,,,,,,
3.27,1.51,0.02367,0.00029,1.56,-0.021351701,2.4986427,,,,,,,,,,,,
3.28,1.55,0.02487,0.00296,1.51,-0.020309302,2.532448834,,,,,,,,,,,,
3.29,1.75,0.02487,-0.00496,1.55,-0.025186446,2.516709061,,,,,,,,,,,,
3.3,1.88,0.02487,-0.01622,1.75,-0.028956316,2.440832745,,,,,,,,,,,,
3.31,2.15,0.02471,-0.05971,1.88,-0.050987197,2.395009794,,,,,,,,,,,,
3.32,2.28,0.02335,-0.07087,2.15,-0.049785331,2.298163145,,,,,,,,,,,,
3.33,2.44,0.02374,-0.07335,2.27,-0.048244901,2.269176536,,,,,,,,,,,,
3.34,2.45,0.02464,-0.07097,2.43,-0.044006792,2.236639893,,,,,,,,,,,,
3.35,2.39,0.02713,-0.06801,2.44,-0.04261598,2.258349041,,,,,,,,,,,,
3.36,2.33,0.03065,-0.06534,2.38,-0.04261367,2.30516573,,,,,,,,,,,,
3.37,2.25,0.03333,-0.05628,2.32,-0.039766933,2.343403057,,,,,,,,,,,,
3.38,2.2,0.03924,-0.05017,2.23,-0.038642904,2.411916187,,,,,,,,,,,,
3.39,2.08,0.04218,-0.03357,2.18,-0.031729304,2.446435435,,,,,,,,,,,,
3.4,2.04,0.0447,0.01536,2.07,-0.009015499,2.495775306,,,,,,,,,,,,
3.41,1.95,0.04715,0.01536,2.03,-0.009251118,2.523616149,,,,,,,,,,,,
3.42,1.21,0.04747,0.01536,1.94,-0.009751176,2.555106468,,,,,,,,,,,,
3.43,1.21,0.04525,-0.0021,1.22,-0.031215522,2.840921557,,,,,,,,,,,,
3.44,1.21,0.04331,-0.00954,1.22,-0.037805306,2.829638907,,,,,,,,,,,,
3.45,1.51,0.03465,0.00038,1.22,-0.029232823,2.769941887,,,,,,,,,,,,
3.46,1.88,0.031,0.0041,1.51,-0.020802995,2.604057106,,,,,,,,,,,,
3.47,1.79,0.02616,0.00801,1.88,-0.014426948,2.422730313,,,,,,,,,,,,
3.48,1.73,0.02467,0.01106,1.79,-0.013464178,2.440003109,,,,,,,,,,,,
3.49,1.67,0.0238,0.00286,1.73,-0.018971833,2.453541861,,,,,,,,,,,,
3.5,1.66,0.02422,-0.02451,1.68,-0.036694505,2.477166492,,,,,,,,,,,,
3.51,1.68,0.02745,-0.03834,1.66,-0.045959349,2.516693257,,,,,,,,,,,,
3.52,1.73,0.0289,-0.04578,1.68,-0.050094322,2.522924452,,,,,,,,,,,,
3.53,1.78,0.0312,-0.04884,1.73,-0.050496404,2.524687242,,,,,,,,,,,,
3.54,1.83,0.03184,-0.05084,1.77,-0.050549334,2.516210383,,,,,,,,,,,,
3.55,1.96,0.03171,-0.04245,1.82,-0.044346844,2.498287893,,,,,,,,,,,,
3.56,2.01,0.03007,-0.03749,1.95,-0.038676264,2.44187397,,,,,,,,,,,,
3.57,1.98,0.02697,-0.02623,2,-0.031867447,2.399462705,,,,,,,,,,,,
3.58,1.92,0.02551,-0.01793,1.98,-0.027893719,2.392888642,,,,,,,,,,,,
3.59,1.77,0.02335,-0.00553,1.92,-0.02212596,2.391562355,,,,,,,,,,,,
3.6,1.67,0.02332,-0.00057,1.76,-0.021342778,2.446797878,,,,,,,,,,,,
3.61,1.55,0.02506,0.00334,1.66,-0.020284786,2.502166062,,,,,,,,,,,,
3.62,1.51,0.02558,0.00954,1.54,-0.017777389,2.555761007,,,,,,,,,,,,
3.63,1.5,0.02622,-0.00334,1.51,-0.027223767,2.575282412,,,,,,,,,,,,
3.64,1.5,0.02635,-0.01354,1.5,-0.034669175,2.58157065,,,,,,,,,,,,
3.65,1.52,0.02655,-0.01822,1.5,-0.038038741,2.584269589,,,,,,,,,,,,
3.66,1.51,0.02719,-0.01488,1.52,-0.035265135,2.582588126,,,,,,,,,,,,
3.67,1.44,0.02674,-0.00277,1.51,-0.027116482,2.583416107,,,,,,,,,,,,
3.68,1.39,0.02487,0.00343,1.44,-0.024029077,2.596502945,,,,,,,,,,,,
3.69,1.28,0.02438,0.01564,1.39,-0.015700825,2.615023613,,,,,,,,,,,,
3.7,1.25,0.02432,0.02203,1.28,-0.01189715,2.668265591,,,,,,,,,,,,
3.71,1.21,0.02309,0.03338,1.25,-0.002579268,2.671539869,,,,,,,,,,,,
3.72,1.21,0.0218,0.03691,1.21,0.000369256,2.679266058,,,,,,,,,,,,
3.73,1.35,0.02254,0.04369,1.21,0.006290182,2.688248434,,,,,,,,,,,,
3.74,1.46,0.02312,0.04559,1.35,0.00701765,2.62468217,,,,,,,,,,,,
3.75,1.71,0.02471,0.0228,1.47,-0.010076759,2.58724027,,,,,,,,,,,,
3.76,1.83,0.02526,0.00038,1.72,-0.022288419,2.493428947,,,,,,,,,,,,
3.77,2.05,0.02706,-0.0187,1.84,-0.031680769,2.468464293,,,,,,,,,,,,
3.78,2.15,0.02845,-0.02585,2.06,-0.031825114,2.410369387,,,,,,,,,,,,
3.79,2.24,0.03,-0.02451,2.15,-0.029842238,2.397444183,,,,,,,,,,,,
3.8,2.35,0.03252,-0.01994,2.23,-0.026650522,2.395549869,,,,,,,,,,,,
3.81,2.37,0.03388,-0.01707,2.34,-0.024125908,2.376445953,,,,,,,,,,,,
3.82,2.34,0.03682,-0.00906,2.37,-0.020351533,2.390600674,,,,,,,,,,,,
3.83,2.27,0.03746,-0.00334,2.33,-0.018213253,2.406567889,,,,,,,,,,,,
3.84,2.11,0.03656,0.00572,2.27,-0.014615482,2.417468868,,,,,,,,,,,,
3.85,2.01,0.03562,0.01374,2.1,-0.011919853,2.460675509,,,,,,,,,,,,
3.86,1.83,0.03171,0.01812,2,-0.010308239,2.462507614,,,,,,,,,,,,
3.87,1.7,0.02971,0.02604,1.84,-0.006793195,2.499656296,,,,,,,,,,,,
3.88,1.64,0.02561,0.03005,1.7,-0.004960973,2.513773154,,,,,,,,,,,,
3.89,1.53,0.02416,0.03682,1.64,-0.000862345,2.523149351,,,,,,,,,,,,
3.9,1.5,0.02319,0.03911,1.54,0.00058499,2.554052361,,,,,,,,,,,,
3.91,1.53,0.02161,0.04025,1.51,0.001328812,2.550413602,,,,,,,,,,,,
3.92,1.58,0.02106,0.02404,1.54,-0.009912221,2.532523415,,,,,,,,,,,,
3.93,1.63,0.02031,0.00744,1.59,-0.020686123,2.504451569,,,,,,,,,,,,
